Gender	Age	Mileage	Province	Claims
1	46	15.1	1	0
1	32	22.4	1	0
1	48	15.3	1	0
1	58	15.4	1	1
1	48	15.7	3	2
1	79	15.8	2	0
1	69	25.8	4	0
1	40	19.9	2	1
1	61	13.2	3	0
1	28	14.9	1	0
1	20	20	1	2
1	79	21.6	1	0
1	53	18.8	2	2
1	66	15.2	3	0
1	53	24.6	3	0
1	36	20.5	1	0
1	54	15.8	4	0
1	66	15.3	1	0
1	25	26	1	0
1	36	12	2	1
1	35	19.7	1	0
1	78	14.5	4	0
1	31	22.1	4	0
1	30	7.8	3	0
1	29	18.3	1	1
1	49	17	1	0
1	46	18.1	2	1
1	68	14.6	2	0
1	45	18.9	1	1
1	72	15.3	2	1
1	41	20.8	1	0
1	54	15.7	1	1
1	67	17.7	4	1
1	43	22.2	2	0
1	70	22.9	1	0
1	21	19.8	1	2
1	41	20.6	1	0
1	51	19.8	4	0
1	39	17.3	1	0
1	56	13.2	1	0
1	57	16.3	1	1
1	48	18.3	1	1
1	67	18.9	1	0
1	38	23.1	2	0
1	26	25.5	1	2
1	62	13.4	2	1
1	46	26	4	0
1	57	17	2	0
1	71	19.8	3	1
1	66	16.6	1	1
1	67	24.5	2	1
1	69	18.6	2	1
1	25	12.8	2	0
1	20	16.5	3	0
1	76	20.7	4	0
1	59	20.1	1	0
1	21	11.7	1	0
1	59	17.6	1	0
1	24	18.9	4	2
1	65	20.3	1	2
1	46	6.3	2	1
1	24	23.3	4	0
1	36	25.2	3	0
1	70	19.8	2	1
1	24	12.5	2	0
1	23	10.4	1	0
1	47	23.7	1	0
1	38	17.3	1	0
1	31	18.7	1	2
1	27	16.1	2	1
1	33	9.9	1	0
1	73	13.6	4	0
1	59	14.3	1	0
1	30	28.9	1	0
1	66	16.1	1	0
1	78	11.7	1	1
1	78	18.3	1	0
1	40	16.6	1	0
1	36	15.5	1	0
1	47	14.7	4	0
1	32	11.9	1	0
1	32	14.6	1	0
1	58	27.3	2	0
1	21	13.5	1	0
1	72	11.5	2	0
1	70	16.6	1	0
1	48	29.4	3	1
1	28	17.5	1	0
1	50	15.4	4	2
1	37	9.7	3	3
1	32	15.1	4	0
1	67	16.8	1	1
1	40	13.3	2	1
1	78	13.3	3	0
1	69	19.9	3	0
1	45	18.1	1	0
1	78	15.1	3	0
1	39	18.5	1	0
1	45	9.1	1	0
1	33	25.4	2	1
1	43	14.8	1	0
1	67	16.6	2	0
1	23	16.8	2	1
1	51	8	1	0
1	39	10	2	0
1	67	18.1	1	2
1	79	16.9	4	0
1	55	17.7	1	0
1	43	20.9	2	0
1	47	21.5	1	1
1	33	15	1	0
1	51	21.5	1	0
1	29	24.3	1	0
1	21	21.6	1	0
1	33	22.9	1	1
1	23	13.4	1	0
1	43	16.5	4	1
1	50	23.6	1	1
1	70	14	1	0
1	26	20.9	1	1
1	43	23.5	1	2
1	27	26.9	1	1
1	76	17.2	1	2
1	38	22.1	1	0
1	62	20.3	1	0
1	39	22.6	1	0
1	43	28.1	1	0
1	48	19.1	1	0
1	38	18.2	1	2
1	50	17	2	0
1	27	16.5	3	0
1	61	20.4	4	0
1	35	25.5	1	1
1	32	15.8	4	1
1	52	13	3	0
1	66	16.2	2	0
1	46	26.4	2	0
1	30	21.5	1	0
1	79	21.5	3	0
1	26	18.3	1	0
1	77	11.9	1	0
1	31	15.6	1	0
1	50	20.4	3	1
1	32	14.5	2	1
1	35	18.5	1	0
1	43	17.8	2	0
1	77	19.5	3	1
1	43	21.6	2	0
1	35	20.8	3	0
1	24	23.3	3	0
1	36	16	2	2
1	48	14.8	1	0
1	73	18.1	1	1
1	37	16.7	1	0
1	56	16.6	2	1
1	53	17.6	3	1
1	43	23.2	1	0
1	56	20.7	1	0
1	36	14.4	3	0
1	30	19.7	2	0
1	43	15.5	4	0
1	78	8.7	1	0
